,Unnamed: 0,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_min_k,param_sim_options
19,,0.8058839664470745,0.8056827331178484,0.8079419698102476,0.8070160907473265,0.8060033099218674,0.8065056140088729,0.0008531814034975715,51,0.6112628972889356,0.6108796660932152,0.6134540841124155,0.6119683118779469,0.6118323290571808,0.6118794576859388,0.0008796925042398024,51,214.01208753585814,0.446961672441566,144.26070375442504,0.57965097367476,"{'k': 90, 'min_k': 1, 'sim_options': {'name': 'cosine', 'user_based': False}}",90,1,"{'name': 'cosine', 'user_based': False}"
20,,0.7938104287956523,0.7935740374263812,0.7957231241649603,0.7950149512410954,0.7936644927287012,0.794357406871358,0.0008591310768372226,20,0.6006452757511106,0.6002633622277364,0.6027783893385388,0.6014712582406263,0.6012407863048131,0.6012798143725651,0.0008625213154673966,20,67.52815675735474,1.4290013418572542,140.18759155273438,0.9579506493441885,"{'k': 90, 'min_k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",90,5,"{'name': 'msd', 'user_based': False}"
21,,0.8058839664470745,0.805665562502702,0.8079419698102476,0.8070160907473265,0.8060003228820287,0.8065015824778758,0.0008568634161184946,50,0.6112628972889356,0.6108764916512821,0.6134540841124155,0.6119683118779469,0.6118305929134796,0.611878475568812,0.0008804333005334677,50,189.55719475746156,1.2745370039327995,129.976482629776,1.3543784520859663,"{'k': 90, 'min_k': 5, 'sim_options': {'name': 'cosine', 'user_based': False}}",90,5,"{'name': 'cosine', 'user_based': False}"
22,,0.7938150987281002,0.7935605362078527,0.7957198581311886,0.7950106480008097,0.7936691452446729,0.7943550572625249,0.0008585772939787395,19,0.6006518867670687,0.6002506337251113,0.6027742977594386,0.6014628507016215,0.601246249454328,0.6012771836815137,0.0008627375933958463,19,56.79837551116943,1.9419833491835028,128.04432191848755,0.9329913220975923,"{'k': 90, 'min_k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",90,10,"{'name': 'msd', 'user_based': False}"
23,,0.8058886898322408,0.8056475881597672,0.8079362831573405,0.8070126270171679,0.806010492100373,0.8064991360533778,0.000856226148297692,49,0.6112687972086711,0.610861655171001,0.6134482013936,0.611960458028939,0.6118368876753292,0.611875199895508,0.0008806892318757911,49,210.3415412902832,2.363680881259211,141.54222550392151,1.8756998448966125,"{'k': 90, 'min_k': 10, 'sim_options': {'name': 'cosine', 'user_based': False}}",90,10,"{'name': 'cosine', 'user_based': False}"
24,,0.7936418354381096,0.79347492328938,0.7955965730230435,0.7949259177694572,0.7935593744945351,0.7942397248029052,0.000862225894944418,18,0.6005051719800881,0.6001987002325454,0.6026892714224815,0.6014184335178728,0.6011569354718643,0.6011937025249705,0.0008663355049557336,18,73.43614249229431,1.5960861635939332,141.5400234222412,0.7517105334155579,"{'k': 95, 'min_k': 1, 'sim_options': {'name': 'msd', 'user_based': False}}",95,1,"{'name': 'msd', 'user_based': False}"
25,,0.8056101268644613,0.8053709857921221,0.8076465588537929,0.8066798632194444,0.805660365268473,0.8061935799996587,0.0008542851586214276,48,0.6110471768236091,0.6106796569741963,0.6131966078225485,0.6117399252664504,0.611614290956702,0.6116555315687012,0.000860948990886905,48,188.85455408096314,1.1494101570087114,132.17228388786316,0.5118415357296138,"{'k': 95, 'min_k': 1, 'sim_options': {'name': 'cosine', 'user_based': False}}",95,1,"{'name': 'cosine', 'user_based': False}"
26,,0.7936418354381096,0.7934574884942714,0.7955965730230435,0.7949259177694572,0.7935575031419785,0.7942358635733721,0.000865634456810577,17,0.6005051719800881,0.6001955257906123,0.6026892714224815,0.6014184335178728,0.6011558251245955,0.60119284556713,0.0008670746768529997,17,54.753712034225465,2.854672047598496,130.988605260849,0.6352664977735345,"{'k': 95, 'min_k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",95,5,"{'name': 'msd', 'user_based': False}"
27,,0.8056101268644613,0.80535380853034,0.8076465588537929,0.8066798632194444,0.8056573769571392,0.8061895468850355,0.0008579842626527476,47,0.6110471768236091,0.6106764825322633,0.6131966078225485,0.6117399252664504,0.6116125548130007,0.6116545494515744,0.00086168590643902,47,214.2044623374939,2.7985820891210706,145.32927775382996,3.2527436106988037,"{'k': 95, 'min_k': 5, 'sim_options': {'name': 'cosine', 'user_based': False}}",95,5,"{'name': 'cosine', 'user_based': False}"
28,,0.7936465063625855,0.7934439852925498,0.7955933064697599,0.7949216140471963,0.7935621562852114,0.7942335136914606,0.0008650054292597139,16,0.6005117829960462,0.6001827972879873,0.6026851798433812,0.6014100259788681,0.6011612882741105,0.6011902148760787,0.0008670909912244498,16,69.91212978363038,2.0082535783297364,139.68112936019898,0.9462804696493003,"{'k': 95, 'min_k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",95,10,"{'name': 'msd', 'user_based': False}"
29,,0.8056148518551711,0.805335827229348,0.8076408701208776,0.8066763980455826,0.8056675505041822,0.8061870995510324,0.0008573126722129439,46,0.6110530767433446,0.610661646051982,0.613190725103733,0.6117320714174422,0.6116188495748504,0.6116512737782704,0.0008619388261546472,46,194.62521443367004,2.3037258613837333,130.8116446018219,0.5335696800282124,"{'k': 95, 'min_k': 10, 'sim_options': {'name': 'cosine', 'user_based': False}}",95,10,"{'name': 'cosine', 'user_based': False}"
30,,0.7933873935482512,0.7932851142011393,0.7953591802057793,0.7949086731914029,0.7934078760205635,0.7940696474334272,0.0008815626072834911,12,0.6003690825289114,0.6001316076414936,0.6025768661868783,0.6013964789751348,0.601035968420169,0.6011020007505175,0.0008654637663588304,6,52.36273293495178,1.5754132780214816,135.15099935531617,0.6267586769032264,"{'k': 105, 'min_k': 1, 'sim_options': {'name': 'msd', 'user_based': False}}",105,1,"{'name': 'msd', 'user_based': False}"
