,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_reg_all,param_n_epochs
10,0.7656156581431324,0.7682159912382844,0.7679731884791674,0.7641633153049034,0.7700672608927063,0.7672070828116387,0.002077622962579283,6,0.5810568580379206,0.583450006174706,0.5837513347935023,0.5808244677267715,0.5825625133540958,0.5823290360173993,0.0012013477532721402,6,42.86734313964844,0.392487125644216,2.462669849395752,0.17835014704097163,"{'lr_all': 0.025, 'reg_all': 0.05, 'n_epochs': 21}",0.025,0.05,21
11,0.7656794055073467,0.7678192367167548,0.7669729770685354,0.7642900901882336,0.7702667065987043,0.7670056832159149,0.0020214188356766157,5,0.5811855980834508,0.5830859652185455,0.5829052155789887,0.58123017644928,0.5824660049293742,0.5821745920519279,0.0008147837937116405,5,44.94294843673706,0.8686780680149635,2.3878899097442625,0.2113707849373746,"{'lr_all': 0.025, 'reg_all': 0.05, 'n_epochs': 22}",0.025,0.05,22
12,0.7688831815541266,0.771256971100655,0.770141590281033,0.7672087141957141,0.7729787026608336,0.7700938319584726,0.001973181765439717,12,0.585092338869019,0.5868429701893783,0.5862696742471049,0.5842999351329664,0.5860782411338056,0.5857166319144548,0.0009057622796340213,12,40.775546646118165,0.2911175157098539,2.3333484649658205,0.19008237005330192,"{'lr_all': 0.025, 'reg_all': 0.07, 'n_epochs': 20}",0.025,0.07,20
13,0.7685035524755268,0.7708580939205729,0.7701519768559257,0.7668963554470062,0.7726893250707358,0.7698198607539535,0.0019850242034972123,11,0.5847526157467836,0.5864830264326046,0.5862828383838151,0.584000607037198,0.5857446508759693,0.585452747695274,0.0009417674374103798,11,42.532043886184695,0.4604739612805372,2.388686418533325,0.17563067985696587,"{'lr_all': 0.025, 'reg_all': 0.07, 'n_epochs': 21}",0.025,0.07,21
14,0.7679210968691788,0.77049204669123,0.7700708298691931,0.766745711516571,0.7726133101763851,0.7695685990245116,0.0020522287712228123,8,0.5842269832735795,0.586085739422138,0.5862621860971456,0.5837188157997761,0.5856311238941962,0.5851849696973671,0.001023540920134277,10,44.72890954017639,0.771551772779562,2.4412820816040037,0.287143206509009,"{'lr_all': 0.025, 'reg_all': 0.07, 'n_epochs': 22}",0.025,0.07,22
15,0.7856745341989928,0.788355566851173,0.787358467596281,0.7841523469972884,0.790074714837643,0.7871231260962757,0.00205961738553433,21,0.5993866773600927,0.6010777662088687,0.6002885121579773,0.5985195430377114,0.6004165326332515,0.5999378062795803,0.0008907183487900953,21,40.39043836593628,0.2928554639683651,2.202926588058472,0.17569099039677039,"{'lr_all': 0.025, 'reg_all': 0.1, 'n_epochs': 20}",0.025,0.1,20
16,0.7854873249749479,0.7879741515044105,0.7867132182046445,0.7838182939359281,0.7894360746740815,0.7866858126588026,0.0019433756997615619,20,0.5992035338024245,0.6007608425915821,0.5998553138772188,0.5982121226316417,0.599998720046378,0.599606106589849,0.0008549761349813804,20,42.27737674713135,0.31914819631435826,2.470125436782837,0.18787725470563954,"{'lr_all': 0.025, 'reg_all': 0.1, 'n_epochs': 21}",0.025,0.1,21
17,0.785007105228033,0.7874965152755913,0.7867942410424988,0.7834285554923821,0.7891018211891452,0.7863656476455301,0.0019708550110876743,19,0.5987899461377881,0.6003885611099724,0.5998372142647056,0.5978831521025374,0.5997133839013976,0.5993224515032802,0.0008842559881828316,19,44.34152369499206,0.26550849638097973,2.2040865898132322,0.1636294975425963,"{'lr_all': 0.025, 'reg_all': 0.1, 'n_epochs': 22}",0.025,0.1,22
18,0.7684005597986207,0.7708930923045134,0.7699595108653202,0.7661506361439211,0.7728374435157259,0.7696482485256203,0.0022630733304502856,9,0.5833917320795807,0.5856420143720137,0.58562253370766,0.5827274106397847,0.5847735819959674,0.5844314545590013,0.0011820291278311764,7,40.8299024105072,0.6079799320060341,2.4025288581848145,0.22990612614631775,"{'lr_all': 0.03, 'reg_all': 0.05, 'n_epochs': 20}",0.03,0.05,20
19,0.7681800738744304,0.7703875305832231,0.769996960607044,0.7667109784418833,0.772315717447974,0.7695182521909111,0.0019226089380927497,7,0.5835966188974739,0.5853702190696032,0.5857350942721782,0.5829518703087273,0.5845853819615224,0.584447836901901,0.0010477811969115175,8,44.980830383300784,1.0555458021323494,2.52695574760437,0.21841129778462534,"{'lr_all': 0.03, 'reg_all': 0.05, 'n_epochs': 21}",0.03,0.05,21
20,0.7683368593904353,0.7704800649459368,0.7702058772739395,0.7662879306669103,0.773285668183327,0.7697192800921098,0.002333235534728056,10,0.5836677563447948,0.5853359099593604,0.585752984567015,0.5825710325551756,0.585243605856605,0.5845142578565902,0.0012028461188166616,9,44.88963479995728,0.5229738991847969,2.342209720611572,0.21031254974368466,"{'lr_all': 0.03, 'reg_all': 0.05, 'n_epochs': 22}",0.03,0.05,22
21,0.7704622063001975,0.7731514268407453,0.7720178413478898,0.7689710419305409,0.77465995072214,0.7718524934283028,0.0019915845668070837,16,0.5863534322116504,0.588530621005238,0.5878071516168298,0.5857759816420764,0.5874117840472058,0.5871757941046001,0.0009925334760263246,17,40.94999632835388,1.0162239719691077,2.280528163909912,0.20410617104200746,"{'lr_all': 0.03, 'reg_all': 0.07, 'n_epochs': 20}",0.03,0.07,20
22,0.7704794141203739,0.772850121162811,0.7718277931325143,0.7687020374650552,0.7744973808741666,0.7716713493509842,0.0019818150509594624,14,0.5863404047671631,0.5882224495236802,0.5877814591535697,0.5855097897942596,0.5873476524744791,0.5870403511426303,0.0009872765311270575,15,42.23901376724243,0.05891320308131199,2.354894828796387,0.22092529026531663,"{'lr_all': 0.03, 'reg_all': 0.07, 'n_epochs': 21}",0.03,0.07,21
23,0.7702297058058726,0.7727992009749388,0.7721543114021979,0.7684116452741171,0.7743548767256211,0.7715899480365496,0.0020677280628236747,13,0.5860803887480012,0.588132270672214,0.5879161928410586,0.5854329401847936,0.587128897319156,0.5869381379530447,0.0010411808172472584,14,44.53583993911743,0.27561506551815934,2.199734020233154,0.1736371854182138,"{'lr_all': 0.03, 'reg_all': 0.07, 'n_epochs': 22}",0.03,0.07,22
24,0.7869834337621268,0.7896579890172036,0.7886791464254639,0.7857637974029728,0.7910716937551309,0.7884312120725795,0.0018841316136056674,24,0.6005554399891371,0.6022325081022961,0.6014928921114294,0.5998350889792414,0.6014053642091897,0.6011042586782588,0.0008278455082210469,25,40.76510324478149,0.7471448217640112,2.504954957962036,0.2370794027800394,"{'lr_all': 0.03, 'reg_all': 0.1, 'n_epochs': 20}",0.03,0.1,20
25,0.7868541705679437,0.7892005823351536,0.788276759433736,0.7852697362117629,0.7909488228723901,0.7881100142841972,0.0019452660377163743,23,0.6004086740846032,0.6018749482894861,0.6011933515931185,0.5994721204780746,0.6012814302879618,0.6008461049466488,0.0008303958199951711,24,45.741914701461795,0.9275272083192687,2.3124465942382812,0.2186718289201855,"{'lr_all': 0.03, 'reg_all': 0.1, 'n_epochs': 21}",0.03,0.1,21
26,0.7864512172618403,0.7889920087427411,0.7881446324454887,0.7850006418246935,0.7905793885719942,0.7878335777693516,0.0019449751121711624,22,0.6000617887060724,0.6016779761075659,0.601085343042256,0.5992592762105551,0.6009975514911464,0.6006163871115191,0.0008534057106250302,23,45.66484627723694,0.6487185092225831,2.3773645401000976,0.21590727207416038,"{'lr_all': 0.03, 'reg_all': 0.1, 'n_epochs': 22}",0.03,0.1,22
