,Features,Parameters_knn,RMSE,Sample_size,Runtime
89,"['Actors: 20', 'imdb_ratings', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9594894760872692,10000,772.109766960144
90,"['Actors: 20', 'Genres', 'NEWKeywords: 200', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9599344235415253,10000,664.8112723827363
91,"['Actors: 20', 'Genres', 'imdb_ratings', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9601120383117332,10000,434.58268570899963
92,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'NEWKeywords: 200']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9601289433080216,10000,625.1926445960999
93,"['Actors: 20', 'imdb_ratings', 'PG_Rating', 'NEWKeywords: 200', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9604977195010234,10000,738.3048589229584
94,"['Actors: 20', 'imdb_ratings', 'PG_Rating', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9605769840164932,10000,501.9326992034912
95,"['Actors: 20', 'Genres', 'imdb_ratings', 'PG_Rating', 'NEWKeywords: 200']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9625973734294798,10000,618.2771573066711
96,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'PG_Rating', 'NEWKeywords: 200']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9638852346392468,10000,620.5234920978546
97,"['Actors: 20', 'Genres', 'PG_Rating', 'NEWKeywords: 200', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9647484218696604,10000,663.0806686878203
98,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'NEWKeywords: 200', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9655127643151878,10000,937.862149477005
99,"['Actors: 20', 'Genres', 'imdb_ratings', 'NEWKeywords: 200']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9683166184730648,10000,620.9088091850282
100,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'NEWKeywords: 200', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9707533356167832,10000,802.9907839298247
101,"['Actors: 20', 'Genres', 'imdb_ratings', 'NEWKeywords: 200', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9796276333383006,10000,668.1032767295837
102,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 20', 'Genres', 'Language: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'NEWKeywords: 10', 'Plots: 100', 'Directors: 5']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.9987987820970036,100,54.18635225296021
