Year,Rated,Released,Runtime,imdbRating,imdbVotes,imdbID,Rotten Tomatoes,Metacritic,Oscars_won,Oscars_nominated,Golden_globe_won,Golden_globe_nominated
1995.0,2.0,9.0,135.0,4.7,894.0,tt0114536,1.5,,,,,
1996.0,1.0,3.0,100.0,5.4,2934.0,tt0117427,2.2,,,,,
1992.0,,12.0,93.0,7.6,1536.0,tt0106473,10.0,,,,,
1992.0,3.0,7.0,117.0,5.5,24980.0,tt0103859,4.4,4.5,,,,
1994.0,2.0,3.0,102.0,8.1,56811.0,tt0109424,8.7,7.7,,,,
1995.0,3.0,3.0,113.0,7.4,4671.0,tt0114808,7.5,,,1.0,,
1996.0,3.0,4.0,92.0,6.7,17166.0,tt0116324,8.7,8.1,,,,
1994.0,0.0,10.0,95.0,3.2,10390.0,tt0110647,,,,,,
1995.0,,9.0,87.0,7.2,226.0,tt0110217,8.0,,,,,
1995.0,3.0,2.0,95.0,5.7,785.0,tt0114131,,,,,,
1999.0,3.0,1.0,145.0,7.3,19722.0,tt0145653,5.2,5.4,,1.0,,
1995.0,3.0,11.0,101.0,6.5,811.0,tt0113107,7.1,,,,,
2001.0,2.0,8.0,103.0,6.7,36667.0,tt0256524,4.6,5.2,,,,
1995.0,,8.0,87.0,7.2,150.0,tt0114500,,,,,,
1996.0,2.0,3.0,92.0,6.2,20302.0,tt0116130,1.2,3.9,,,,
1995.0,,3.0,97.0,7.2,235.0,tt0113125,10.0,,,,,
2006.0,2.0,10.0,115.0,6.2,31214.0,tt0483726,2.2,3.9,,,,
1993.0,3.0,8.0,97.0,6.2,42676.0,tt0107076,5.5,,,,,
1996.0,2.0,3.0,124.0,6.2,13084.0,tt0118055,3.1,,,1.0,,
1996.0,3.0,3.0,117.0,7.1,77005.0,tt0115685,7.9,7.2,,1.0,,
1995.0,1.0,10.0,125.0,5.0,303.0,tt0113200,,,,,,
1995.0,3.0,8.0,98.0,6.6,7022.0,tt0112585,8.9,7.3,,,,
1995.0,3.0,4.0,119.0,6.9,231896.0,tt0112442,4.3,4.1,,,,
1995.0,1.0,8.0,84.0,5.8,3585.0,tt0112342,2.0,,,,,
1995.0,3.0,4.0,102.0,7.3,98303.0,tt0112461,4.5,4.6,,,,
1995.0,3.0,7.0,112.0,6.0,2482.0,tt0112427,3.6,,,,,
2005.0,3.0,4.0,96.0,6.3,5998.0,tt0405163,1.9,4.5,,,,
1995.0,1.0,6.0,140.0,7.6,258008.0,tt0112384,9.6,7.7,2.0,,,
1995.0,3.0,4.0,139.0,6.9,39665.0,tt0114287,7.3,5.5,,1.0,,
2006.0,3.0,3.0,114.0,4.3,36570.0,tt0430912,0.6,2.6,,,,
1995.0,2.0,6.0,121.0,5.4,229120.0,tt0112462,3.9,5.1,,3.0,,
1967.0,3.0,4.0,100.0,7.7,38014.0,tt0061395,9.6,,,,,
1995.0,3.0,8.0,100.0,6.6,4640.0,tt0112495,3.9,,,,,
1995.0,3.0,10.0,83.0,6.7,8856.0,tt0112541,4.1,5.4,,,,
1995.0,1.0,9.0,91.0,6.0,15558.0,tt0109370,1.4,,,,,
1995.0,1.0,5.0,100.0,6.1,115303.0,tt0112642,4.6,4.9,,,,
1995.0,3.0,9.0,128.0,6.9,19839.0,tt0112688,7.1,7.1,,,,
1995.0,2.0,6.0,109.0,5.3,40875.0,tt0112715,2.2,2.2,,,,
1995.0,3.0,5.0,116.0,7.3,97222.0,tt0112740,8.8,6.6,,3.0,,
1994.0,3.0,4.0,119.0,8.0,17601.0,tt0109508,9.5,9.3,,,,
1995.0,3.0,8.0,104.0,7.2,166714.0,tt0112851,6.3,5.5,,,,
1995.0,3.0,9.0,102.0,6.7,16786.0,tt0112857,8.8,7.8,,,,
1995.0,3.0,5.0,128.0,7.6,354344.0,tt0112864,5.2,5.8,,,,
1995.0,3.0,10.0,83.0,6.1,13335.0,tt0112887,4.7,4.8,,,,
1995.0,3.0,10.0,116.0,6.4,466.0,tt0113044,6.7,,,,,
1995.0,2.0,7.0,134.0,6.0,65313.0,tt0113071,4.4,,,,,
1995.0,1.0,7.0,95.0,5.1,16623.0,tt0113114,3.1,,,,,
1995.0,2.0,9.0,105.0,6.3,63803.0,tt0113243,3.3,4.6,,,,
1995.0,3.0,8.0,92.0,6.8,5464.0,tt0113464,6.8,,,,,
1995.0,3.0,5.0,96.0,5.7,64565.0,tt0113481,1.3,,,,,
1995.0,3.0,6.0,96.0,5.6,107028.0,tt0113492,1.7,,,,,
1995.0,2.0,4.0,88.0,4.3,7312.0,tt0113500,0.0,,,,,
1995.0,,9.0,91.0,7.1,70669.0,tt0113540,4.6,6.3,,,,
1995.0,3.0,7.0,90.0,7.5,15710.0,tt0113677,8.8,8.1,,,,
1995.0,3.0,8.0,109.0,6.1,14031.0,tt0113690,6.1,,,,,
1993.0,3.0,6.0,100.0,6.7,2381.0,tt0107447,6.9,,,,,
1995.0,2.0,5.0,93.0,5.4,5967.0,tt0113729,,,,,,
1995.0,3.0,10.0,94.0,7.1,113329.0,tt0113749,5.6,4.1,,,,
1995.0,1.0,6.0,95.0,5.2,24582.0,tt0113820,3.7,4.0,,,,
1995.0,3.0,9.0,105.0,5.7,3398.0,tt0113851,1.5,,,,,
1995.0,3.0,9.0,95.0,6.7,5037.0,tt0110604,8.3,,,,,
1994.0,3.0,9.0,93.0,6.1,2848.0,tt0110620,,6.4,,,,
1995.0,2.0,7.0,114.0,5.9,58690.0,tt0113957,4.0,5.1,,,,
1995.0,2.0,7.0,103.0,5.5,34414.0,tt0113986,2.6,4.7,,,,
1995.0,3.0,6.0,94.0,6.6,4324.0,tt0114095,7.8,5.5,,,,
1995.0,3.0,9.0,98.0,6.5,28261.0,tt0114194,4.3,4.4,,,,
1949.0,,12.0,82.0,7.1,3907.0,tt0041786,,,,,,
1964.0,,10.0,112.0,8.0,18527.0,tt0058083,9.3,7.5,,,,
1995.0,3.0,10.0,135.0,5.3,13980.0,tt0114345,1.3,,,,,
1995.0,4.0,9.0,128.0,4.8,59539.0,tt0114436,2.2,1.6,,,,
1995.0,3.0,6.0,112.0,7.4,32230.0,tt0114478,9.3,7.0,,,,
1995.0,3.0,8.0,106.0,5.7,12096.0,tt0114496,3.9,,,,,1.0
1995.0,3.0,7.0,108.0,5.8,72147.0,tt0114508,4.3,4.9,,,,
1995.0,1.0,9.0,109.0,6.5,666.0,tt0114534,5.0,,,,,
1995.0,3.0,10.0,145.0,7.2,65271.0,tt0114558,6.2,6.6,,,,
1964.0,,12.0,91.0,7.8,21847.0,tt0058450,9.8,8.6,,5.0,,
1995.0,3.0,9.0,99.0,5.0,1069.0,tt0114666,0.8,,,,,
1995.0,1.0,10.0,115.0,6.1,2551.0,tt0114663,1.3,,,,,
1995.0,3.0,11.0,111.0,6.6,12850.0,tt0114702,2.5,4.2,,,,
1995.0,2.0,9.0,109.0,6.6,27365.0,tt0114682,3.9,6.0,,,,2.0
1995.0,3.0,7.0,100.0,5.5,42599.0,tt0114781,3.5,5.2,,,,
1995.0,1.0,9.0,93.0,6.7,2927.0,tt0114798,7.4,7.0,,1.0,,
1995.0,3.0,8.0,73.0,6.4,1013.0,tt0114805,8.0,,,,,
1995.0,2.0,8.0,102.0,6.7,30388.0,tt0114887,4.4,5.4,,,1.0,
1995.0,2.0,7.0,135.0,6.2,174104.0,tt0114898,4.6,5.6,,1.0,,
1995.0,3.0,12.0,89.0,5.3,4522.0,tt0114928,2.4,,,,,
1995.0,3.0,12.0,98.0,5.9,6186.0,tt0114938,4.2,,,,,
1951.0,,4.0,90.0,8.2,3601.0,tt0043362,8.9,,,,,
1995.0,2.0,8.0,90.0,5.6,5376.0,tt0112602,1.1,,,,,
1994.0,3.0,4.0,135.0,7.9,13702.0,tt0111579,8.0,,1.0,,,
1994.0,,2.0,113.0,8.0,13439.0,tt0110882,9.2,,,1.0,,
1995.0,3.0,1.0,101.0,8.1,256632.0,tt0112471,10.0,7.7,,,,
1995.0,2.0,2.0,89.0,6.4,126326.0,tt0112508,4.0,1.6,,,,
2007.0,3.0,5.0,88.0,5.6,10484.0,tt0796302,3.3,3.5,,,,
1995.0,3.0,2.0,115.0,6.5,11498.0,tt0112571,7.4,6.1,,,,
1995.0,2.0,4.0,97.0,7.7,8884.0,tt0112757,4.5,,,,,
1995.0,3.0,11.0,90.0,5.9,6356.0,tt0112643,6.3,,,,,
1995.0,2.0,4.0,103.0,6.6,7778.0,tt0112679,7.8,7.0,,,,
1994.0,3.0,11.0,92.0,7.7,208034.0,tt0109445,8.8,7.0,,,,
1994.0,2.0,4.0,97.0,6.7,47036.0,tt0112883,6.9,6.3,,1.0,,
1994.0,3.0,12.0,128.0,6.1,45006.0,tt0109635,5.8,5.8,,,,
1988.0,1.0,8.0,110.0,6.9,15852.0,tt0096316,8.3,7.4,,3.0,,
1994.0,3.0,12.0,101.0,5.6,18642.0,tt0109676,4.1,,,,,
1995.0,3.0,4.0,102.0,4.5,2190.0,tt0112854,1.7,,,,,
1994.0,3.0,1.0,103.0,7.3,21713.0,tt0109579,8.4,7.2,,,,
1995.0,3.0,3.0,132.0,7.4,37150.0,tt0109642,8.4,6.2,,,,
1994.0,2.0,12.0,107.0,7.3,343953.0,tt0109686,6.7,4.1,,,,
1994.0,,8.0,124.0,7.8,17815.0,tt0111797,9.1,,,1.0,,
1994.0,3.0,3.0,103.0,7.0,17188.0,tt0109759,9.7,7.1,,,,
1994.0,3.0,10.0,113.0,4.2,6284.0,tt0109758,0.6,,,,,
